ID-ES,TERM-ES,,ID,TERM,Qualifier,,FINAL DEFINITION,BiBLIOGRAPHY,SYNONYMS,Observations,
8,Acolchado,,8,Matelassé,,,"n. A double cloth fabric that is composed of two separate fabic layer, A thick double cloth or compound woven fabric with a characteristic quilted or puckered appearance on the face side. In-between the two fabric layers, very thick weft yams. usually soft cotton, are inserted as wadding picks. These are not visible on either side of the fabric, but they accentuate the quilted effect. The fabric layers are held together by the figuring threads, which form the figures or pattern on the face of the fabric. ","Wilson, Janet. Classic and Modern Fabrics: The Complete Illustrated Sourcebook. London: Thames & Hudson Ltd, 2010; Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980.
",,,
10,Adamascado ,,10,Damassé,,,"n. A descriptive term for rich woven designs similar to damask, with contrasting luster in the ground and pattern.","Tortora, Phyllis, y Ingrid Johnson. The Fairchild Books Dictionary of Textiles, 2014.",self-patterned, ,
,,,,,,,,,,,
12,Adúcar ,,12,Spun silk,,,"n. A cheap material, which is obtained from silk waste. The yarn is made up from short lenghts silk and it could be of two grades, which are Schappe or Bourrette Yarn. A special machine is needed to spun it.","Tortora, Phyllis, y Ingrid Johnson. The Fairchild Books Dictionary of Textiles, 2014. Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980.","coarse silk, bourrette yarn, waste silk",,
14,Adúcar  ,,14,Spun silk fabric,,,n. A kind of fabric made from spun silk yarns wholly or partly.,"Tortora, Phyllis, y Ingrid Johnson. The Fairchild Books Dictionary of Textiles, 2014.","Doupioni, doupion silk, doupion, bourrette",,
15,Afelpado ,,15,Velvety,,,"n. Weft-pile weave with solid cut pile. Fabric with a short, close filling pile cut to resemble velvet.","Tortora, Phyllis, y Ingrid Johnson. The Fairchild Books Dictionary of Textiles, 2014; Stevenson, Angus, ed. Oxford Dictionary of English. 3rd ed. Oxford University Press, 2010.",velveted,,
17,Afelpar,,,Upholster,,to weave as velvet or plush,v. ,"Roberts A., Edward. A Comprehensive Etymological Dictionary of the Spanish Language with Families of Words Based on Indo-European Roots. Bloomington: Xlibris, 2014.",,,
18,Agremán ,,18,Dress trimming,,,It refers to the action of making ornamental trimming for a garment.,"Roberts A., Edward. A Comprehensive Etymological Dictionary of the Spanish Language with Families of Words Based on Indo-European Roots. Bloomington: Xlibris, 2014.",,,
,,,19,Dress trimming,,,,,,,
20,Alberoni,,20,Alberoni,,,"n. A type of cloth made with silk and gold yarn, or with silk or mohair filling. It was made either in France or The Netherlands, and now is obsolete.","Tortora, Phyllis, y Ingrid Johnson. The Fairchild Books Dictionary of Textiles, 2014.",,,
,,,21,Alcarchofado,,,,"Stevens, John. A New Spanish and English Dictionary : Collected from the Best Spanish Authors, Both Ancient and Modern ... to Which Is Added, a Copious English and Spanish Dictionary, Likewise a Spanish Grammar ... Wherein the Spanish Dialogues That Have Been Publish’d Are Put into Proper English / the Whole by John Stevens. London: Printed for George Sawbridge, 1706.",,,
,,,,,,,,,,,
23,Alcatifa ,,23,Alcatifa,,,"The term Alcatifa, from Spanish language, refers to carpets and rugs with oriental design.","Tortora, Phyllis, y Ingrid Johnson. The Fairchild Books Dictionary of Textiles, 2014.",tapis,,
25,Alepín ,,25,Alepine,,,"n. The term refers to its origin, Aleppo, from the 16th century. Originally in black colour (after in all colours), it is a fine and twilled cloth with soft-spun silk warp and fine, worsted filling. It is made up from a mixture of wool and silk or mohair and cotton. When used as a countable noun, it refers to a piece of this fabric. The term has other uses as a fabric made in England in the 18th century or a French fabric with silk and cotton. ","Tortora, Phyllis, y Ingrid Johnson. The Fairchild Books Dictionary of Textiles, 2014. Stevenson, Angus, ed. Oxford Dictionary of English. 3rd ed. Oxford University Press, 2010.",alapeen; alapine; aleppine,,
,,,,,,,,,,,
28,Alfombra ,,28,Rug,,,"n. A thick and heavy fabric made from wool mainly, or  cotton, silk, jute or manufractured fibers, with or without pile surface. Some examples are also from animal hair or skins. Used to cover floors partially, beds or tables generally. The terms rug and carpet are commonly used equally, but carpet is generally understood for knotted carpets covering the entire floor installed wall-to-wall, while rugs are understood as pieces of definite shapes which do not cover the whole floor. ","Stevenson, Angus, ed. Oxford Dictionary of English. 3rd ed. Oxford University Press, 2010. Campbell, Gordon. The Grove Encyclopedia of Decorative Arts. Oxford University Press, 2006. Tortora, Phyllis, y Ingrid Johnson. The Fairchild Books Dictionary of Textiles, 2014. Phipps, Elena. Looking at Textiles. A guide to technical terms. Los Angeles: Getty Publications, 2011.","rug, tapis",,
29,Alma ,,29,Core,,,"n. The yarn which is surrounded by another thread or yarn, being the central part of the yarn itself, cord or rope.","CIETA. Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980. Tortora, Phyllis, y Ingrid Johnson. The Fairchild Books Dictionary of Textiles, 2014.",,,
,,,31,Voided satin velvet,,,,"Monnas, Lisa. Reinassance Velvets. London: Hachette Book Group, 2012.",,,
32,Anafaya ,,32,Anafaya,,,"n. From the arab word ""annafáya"" and ""nufāyah"", meaning a cloth made of cotton or silk.","Stevens, John. A New Spanish and English Dictionary : Collected from the Best Spanish Authors, Both Ancient and Modern ... to Which Is Added, a Copious English and Spanish Dictionary, Likewise a Spanish Grammar ... Wherein the Spanish Dialogues That Have Been Publish’d Are Put into Proper English / the Whole by John Stevens. London: Printed for George Sawbridge, 1706.",anafálla,https://tureng.com/en/spanish-english/anafaya,
36,Anascote ,,36,Anacosta,,,"n. The term anacosta derives from the place it, supposedly, was originally made, Hondschoote, in The Netherlands. It consists of a high-quality and all-worsted dress fabric with a short nap. The weave is two up & two down twill with approximately twice as many picks as ends. Appart from The Netherlands it was also made in Great Britain and in France. ","Tortora, Phyllis, y Ingrid Johnson. The Fairchild Books Dictionary of Textiles, 2014; Wilson, Janet. Classic and Modern Fabrics: The Complete Illustrated Sourcebook. London: Thames & Hudson Ltd, 2010. ",anacaste; anacosa; anacostia; anacote; french merino,,
99,Ancho casulla,,99,Chasuble Width,,,"It means the width of a cloth that is finished in a Jacquard loom, which usually was used for religious textiles such as Chasubles, the priest's garment.",Spanish Oral Source,,,
66,Ancho de tela,,66,Width,,,"The width is the measurement of the textile from side to side, in this case from right to left or from left to right. ","Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980. Tortora, Phyllis, y Ingrid Johnson. The Fairchild Books Dictionary of Textiles, 2014. Stevenson, Angus, ed. Oxford Dictionary of English. 3rd ed. Oxford University Press, 2010.",,,
38,Bordado de aplicación ,,,Appliqué Lace,,,"n. An additive process of attaching decorative or ornamental components (Appliqué) in a surface layer. The layer is sewn, embroided or fastened to the ground fabric. ","Segal, William. Encyclopedia of Textiles. New Jersey: Prentice Hall, 1972. Tortora, Phyllis, y Ingrid Johnson. The Fairchild Books Dictionary of Textiles, 2014. Phipps, Elena. Looking at Textiles. A guide to technical terms. Los Angeles: Getty Publications, 2011.",,,
39,Aplicación ,,39,Appliqué,,,"n. A term from mid 18th century from French, past participle of appliquer ‘apply’, from Latin applicare. It is a surface decoration, generally ornamental needlework, which is lately attached, sewn, embroided or fastened to a ground fabric.","Segal, William. Encyclopedia of Textiles. New Jersey: Prentice Hall, 1972. Tortora, Phyllis, y Ingrid Johnson. The Fairchild Books Dictionary of Textiles, 2014. Phipps, Elena. Looking at Textiles. A guide to technical terms. Los Angeles: Getty Publications, 2011. Stevenson, Angus, ed. Oxford Dictionary of English. 3rd ed. Oxford University Press, 2010.",,,
403,Arcada,,403,Necking cord,,,n. Any of various cords in a drawloom joining the pulley cords and the leashes.,"Stevenson, Angus, ed. Oxford Dictionary of English. 3rd ed. Oxford University Press, 2010.",,COPIADO LITERAL de lexico.com,
41,Arnés,,41,Harness,,,n. By Harness it is meant either the sum of shafts in a loom or a specific group of shafts or leashes that perfom one function in the weaving process of a textile.,"CIETA. Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980. Tortora, Phyllis, y Ingrid Johnson. The Fairchild Books Dictionary of Textiles, 2014.",cuerpo,,
42,Arrasado ,,42,Satiny,,,"adj. Through different processes as ciré, friction calendering or waxing finish, any fabric which resembles to be silk, or a fabric with a smooth, glossy surface or finished which seems satin. ","Tortora, Phyllis, y Ingrid Johnson. The Fairchild Books Dictionary of Textiles, 2014;  Castany Saládrigas, Francisco. Diccionario de tejidos. Etimología, origen, arte, historia y fabricación de los más importantes tejidos clásicos y modernos. Gustavo Gil S.A., 1949. Stevenson, Angus, ed. Oxford Dictionary of English. 3rd ed. Oxford University Press, 2010.","glossy, smooth, satin",,
43,Asargado ,,43,Serge,,,"n. From the Latin ""serica"" (which means silk) and lately from the Italian ""sergea"". A Serge is a fabric with a flat diagonal twill line from the lower left to the upper right selvage. In general, any fabric with diagonal lines resembling twill.","Castany Saládrigas, Francisco. Diccionario de tejidos. Etimología, origen, arte, historia y fabricación de los más importantes tejidos clásicos y modernos. Gustavo Gil S.A., 1949; Tortora, Phyllis, y Ingrid Johnson. The Fairchild Books Dictionary of Textiles, 2014; Montgomery, Florence. Textiles in America, 1650-1870. New York: W W Norton & Co Inc, 1984; Wilson, Janet. Classic and Modern Fabrics: The Complete Illustrated Sourcebook. London: Thames & Hudson Ltd, 2010.",twilling,REVISAR. no tengo claro si hay que buscar un adjetivo o en inglés se usa como sustantivo,
44,Atafetanado ,,44,Plain weave fabric,,,Fabric which looks like Tabby or Plain Weave.,"Castany Saládrigas, Francisco. Diccionario de tejidos. Etimología, origen, arte, historia y fabricación de los más importantes tejidos clásicos y modernos. Gustavo Gil S.A., 1949. Tortora, Phyllis, y Ingrid Johnson. The Fairchild Books Dictionary of Textiles, 2014.","Tabby, Plain Weave",Recordar la diferencia entre Plain Weave (american english) con Tabby (english),
47,Aterciopelado ,,47,Pile fabric,,,Fabric having a pile surface or which looks like velvet.,"Tortora, Phyllis, y Ingrid Johnson. The Fairchild Books Dictionary of Textiles, 2014; Castany Saládrigas, Francisco. Diccionario de tejidos. Etimología, origen, arte, historia y fabricación de los más importantes tejidos clásicos y modernos. Gustavo Gil S.A., 1949.","velour, velvet, velveteen",,
48,Atirelado,,48,Stripe,,,"n. Fabric with or having stripes, consisting of bands or straight lines against a plain background.","Tortora, Phyllis, y Ingrid Johnson. The Fairchild Books Dictionary of Textiles, 2014; Castany Saládrigas, Francisco. Diccionario de tejidos. Etimología, origen, arte, historia y fabricación de los más importantes tejidos clásicos y modernos. Gustavo Gil S.A., 1949. Stevenson, Angus, ed. Oxford Dictionary of English. 3rd ed. Oxford University Press, 2010.",striped,,
49,Atisuado ,,,,,,,,,,
51,Atractiva ,,,,,,,,,,
52,Aurora ,,52,Aurora Pink,,,"n. From the Latin ""aurora"", it is a pallid and delicate pink.",TRADUCIDO DE VERSIÓN ESPAÑOL. Buscar equivalente a nombre color.,,,
53,Aurora ,,53,Aurora,,,n. Any fabric of Aurora pink colour,TRADUCIDO DE VERSIÓN ESPAÑOL. Buscar equivalente a nombre color.,,,
54,Austria ,,54,Austrian Cloth,,,"n. Fabric used mainly in the interior of men's formal suits. It is made up from fine woolen, or it can be also a worsted fabric. ","Tortora, Phyllis, y Ingrid Johnson. The Fairchild Books Dictionary of Textiles, 2014",,NO COINCIDE LA DESCRIPCIÓN EN ESP con ING. De lana o de algodón??,
55,Azache ,,55,Bourrette silk,,,"Silk yarn obtained from the waste that is produced in the manufracture of schappe silk, and also it can be obtained from the first layers of the cocoon. Its uses are for decorative fabrics, dress goods among others.","Segal, William. Encyclopedia of Textiles. New Jersey: Prentice Hall, 1972; Tortora, Phyllis, y Ingrid Johnson. The Fairchild Books Dictionary of Textiles, 2014",stumba,,
56,Balastri,,56,Balastri,,,,"Mortimer, Thomas, and John Adams. A New and Complete Dictionary of Trade and Commerce : Containing a Distinct Explanation of the General Principles of Commerce; an Accurate Definition of Its Terms ... a Particular Description of the Different Productions of Art and Nature, Which Are the Basis and Support of Commerce. London, 1766.",,,
,,,,,,,,,,,
,,,,,,,,,,,
60,Basta ,,60,Float,,,"n. A float is the portion or the segment of a yarn, in a fabric, that floats, i.e. unbound, over two or a group of ends or picks.","CIETA. Segal, William. Encyclopedia of Textiles. New Jersey: Prentice Hall, 1972. Tortora, Phyllis, y Ingrid Johnson. The Fairchild Books Dictionary of Textiles, 2014. Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980.",flush,,
72,Batán,,,Beater,,,"n. A part of a loom. It is a spiked roll, in the swinging frame in which the reed is fastened. It also beats in the weft.","CIETA. Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980. Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980.",Batten,,
,,,,,,,,,,,
62,Batavia ,,62,Batavia,,,"n. From the ancient city of Batavia, nowadays Jakarta (Indonesia). A silk fabric made up from raw and other type of silk. In French it is a four-harness two up, two down twill. In Britain it is a light silk fabric consisting of a four-harness twill. Ii also could be a light cotton fabric used for summer hats.","Tortora, Phyllis, y Ingrid Johnson. The Fairchild Books Dictionary of Textiles, 2014",,,
63,Batido de la seda,,63,Ply,,,v. To twist together two or more single threads or ends to make a thicker yarn or thread. ,"Tortora, Phyllis, y Ingrid Johnson. The Fairchild Books Dictionary of Textiles, 2014. Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980.
",ply; ply yarn,,
,,,,,,,,,,,
65,Batik ,,65,Batik,technique,,"Dying or printing method, as a  javanian style. It uses wax as resist in the process. The designed areas are covered with wax, which repeals the colour. When the wax is dissolved or removed, mainly by boiling it, applying solvent or ironing over, the design appears uncoloured with a coloured ground.","Tortora, Phyllis, y Ingrid Johnson. The Fairchild Books Dictionary of Textiles, 2014. Segal, William. Encyclopedia of Textiles. New Jersey: Prentice Hall, 1972.",,REVISAR DESCRIPCIÓN EN CAST. PORQUE EN LA BIBLIOGRAFIA INGLES SE DICE QUE LA PARTE DEL DISEÑO ES LA QUE SE DEJA EN BLANCO Y EL FONDO COLOREADO. EN CAST. SE DESCRIBE AL REVÉS,
67,Batista de seda ,,67,Batiste,,,"n. In French ""batiste"". In origin it was a soft sheer linen fabric. It got its name from Jean Baptiste (13th century) who started making it. In At 19th century it started to be produced from cotton, as a plain weave (tabby) fabric. Nowadays it is made up from both cotton and other manufactured fibers as polyester. ","Tortora, Phyllis, y Ingrid Johnson. The Fairchild Books Dictionary of Textiles, 2014. Segal, William. Encyclopedia of Textiles. New Jersey: Prentice Hall, 1972.",batiste de soie,,
68,Bayadera ,,68,Bayadère,,,"n. From the French ""Bayadère"". A textile with straight or undulating stripes or bands formed by different binding systems. Those binding systems succeed each other in order, using the same way and entering. Usually of brilliant colours, maybe strongly contrasted.","CIETA. Tortora, Phyllis, y Ingrid Johnson. The Fairchild Books Dictionary of Textiles, 2014.",,,
69,Belelachs ,,69,Belolac,,,n. A silk taffeta or silk popplin which is obsolete and was originally from Bangladesh.,"Tortora, Phyllis, y Ingrid Johnson. The Fairchild Books Dictionary of Textiles, 2014",belelacs; belelais,,
71,Bengala ,,71,Bengal,,,"n. A raw silk originally from West Bengal (India), from where it takes its name. Also it could significate a women's dress fabric, also from West Bengal, made of silk and hair cloth. Also it is a imitation muslin with a printed stripe.","Tortora, Phyllis, y Ingrid Johnson. The Fairchild Books Dictionary of Textiles, 2014. Segal, William. Encyclopedia of Textiles. New Jersey: Prentice Hall, 1972.",,,
70,Bengalina ,,70,Bengaline,,,"n. A plain weave (tabby) fabric with cross-rib material, with filling yarn corser than warp, but more warps yarns are used, so the filling is completely covered, forming the cords. It can be from different materials as silk, cotton, rayon and wool or silk and wool. It comes dyed and it common uses are dresses, coatings, ribbons, suits, millinery. It has been used widely as a mourning cloth.","Tortora, Phyllis, y Ingrid Johnson. The Fairchild Books Dictionary of Textiles, 2014. Segal, William. Encyclopedia of Textiles. New Jersey: Prentice Hall, 1972.",,,
404,Berclé,,404,Hatched,,,adj. Term used to describe a woven or printed fabric in which one pattern or colour or thread (yarn) is overlaid on another. It describes a shaded effect achieved by using aternating weft threads of different colours or tones. It also meant crossed with lines.,"CIETA. Tortora, Phyllis, y Ingrid Johnson. The Fairchild Books Dictionary of Textiles, 2014.",,REVISAR. Anotaciones cuaderno 11/01,
73,Blonda ,,,Blonde Lace,,,"n. From the French ""blonde"", meaning the raw silk colour, ochre. It has that colour because it un unbleached. It consists of a bobbin lace with varying sizes of threads or yarns that was creamy or fair in colour, in its origin, but nowadays can be found in black, white and coloured, having the same characteristics. For the ground the threads of fine silk are twisted and formed in hexagonal meshes. It has a floral design with coarser thread. Its original name was Nanking, or Nankin lace, the Chinese city it was imported.","Tortora, Phyllis, y Ingrid Johnson. The Fairchild Books Dictionary of Textiles, 2014. Segal, William. Encyclopedia of Textiles. New Jersey: Prentice Hall, 1972. Simpson, John; Weiner, Edmund (eds). The Oxford English Dictionary. Oxford : Clarendon Press ; Oxford ; New York : Oxford University Press, 1989.","Blonde écru, Nankin Lace, Nanking",Blonde/Lace. Anotaciones cuaderno.,
,,,74,Shiny Lace,,,"n. A blonde lace manually made, consistent of red silk which offers shine.",TRADUCCION ESPAÑOL,,,
75,Blonda bruselas ,,75,Brussels Lace,,,"n. A famous and costly bobbin or needlepoint pillow-lace made in and around Brussels, Belgium. It consists ona net lace with cordonnet edging the pattern in needlepoint; designs made separately and apliqued on the net. It has a even and thick texture and its form is delicated and accurated.","Tortora, Phyllis, y Ingrid Johnson. The Fairchild Books Dictionary of Textiles, 2014. Segal, William. Encyclopedia of Textiles. New Jersey: Prentice Hall, 1972. Simpson, John; Weiner, Edmund (eds). The Oxford English Dictionary. Oxford : Clarendon Press ; Oxford ; New York : Oxford University Press, 1989.",,,
76,Blonda castañuela ,,,Castanet Lace,,,n. A variation of the Spanish Lace with a set of castanet endings,TRADUCCION ESPAÑOL,,,
77,Blonda española ,,77,Spanish Lace,,,n. A silk lace made in Spain either white or black. What is particular is its design with large flower decorations sewn to the net (machine-made ground) and outlined with a heavy silk thread run in with a needle. When it is made manually both ground and lace are done at the same time.,"Encyclopaedia Britannica, 8th ed., s.v. “Internet.” Chicago: Encyclopaedia Britannica, 2009. [https://www.britannica.com]. Tortora, Phyllis, y Ingrid Johnson. The Fairchild Books Dictionary of Textiles, 2014.",Spanish Blonde Lace,https://www.britannica.com/technology/Spanish-lace,
78,Blonda granadina ,,,Grenadine Lace,,,n. Blonde lace done exclusively from a type of silk from Granada (Spain) ,"Tortora, Phyllis, y Ingrid Johnson. The Fairchild Books Dictionary of Textiles, 2014. + TRADUCCIÓN ESPAÑOL",,,
,,,,,,,,,,,
80,Blondina ,,,Narrow Blond Lace,,,,,,,
82,Bobillo  ,,82,Bobillo,,a large glazed pitcher with the form of a porbelly,"n. In women's dress, an ornamental lace in the neckline, which falls naturally as a frill.",TRADUCCIÓN ESPAÑOL,,,
263,Bobina,,263,Reel,,,"n. Device (revolving frame) on which thread is formed into hanks or skeins. That is, where thread or yarn is wound after being spun and from where it is easily unwound to weave fabrics. ","Simpson, John; Weiner, Edmund (eds). The Oxford English Dictionary. Oxford : Clarendon Press ; Oxford ; New York : Oxford University Press, 1989. Tortora, Phyllis, y Ingrid Johnson. The Fairchild Books Dictionary of Textiles, 2014.","pirn, quill, bobbin, yarn winder",,
84,Bolla ,,,Bolla,,,"n. A tax, or stamp-duty, imposed by the Spanish Government because of economic decline. Every fabric set which had the stamp meant that the tax was payed and followed and accomplisehd all legal rules.","De Laborde, Alexander Louis. A view of Spain : comprising a descriptive itinerary of each province, and a general statistical account of the country / translated from the French of Alexander de Laborde. London : Longman, Hurst, Rees, and Orme, 1809.",,SEAL/ BULL/ GETTY COMPROBAR,
,,,86,Embroidery,,,,,,,
87,Bordado ,,87,Embroidery,,,"n. From the Old French ""embroder"", and the Middle English ""embrouderie"". Originally the term was used to describe the ornament on ecclesiastical garments. It is an art of ornamenting cloths and other fabrics' ground with needle-worked accesory stitches made with thread, yarn or other flexible materials. From the many types of stitches straight running stitch, backstitch, satin stitch, couching stitch, cross-stitch, chain-stitch, can be named. ","Simpson, John; Weiner, Edmund (eds). The Oxford English Dictionary. Oxford : Clarendon Press ; Oxford ; New York : Oxford University Press, 1989. [www.oed.com] Tortora, Phyllis, y Ingrid Johnson. The Fairchild Books Dictionary of Textiles, 2014.
Thornton, Peter. Baroque and Rococo Silks. Faber & Faber, 1965. Phipps, Elena. Looking at Textiles. A guide to technical terms. Los Angeles: Getty Publications, 2011.Segal, William. Encyclopedia of Textiles. New Jersey: Prentice Hall, 1972.",Broiderie (obsolete),REVISAR JUNTO A LA DEFINICIÓN EN CASTELLANO. VERBO? SUSTANTIVO? LA TÉCNICA? EL VERBO??,
88,Bordar ,,88,Embroider,,,v. The action of decorating or ornamenting with neddlework a fabric or cloth ground.,"Simpson, John; Weiner, Edmund (eds). The Oxford English Dictionary. Oxford : Clarendon Press ; Oxford ; New York : Oxford University Press, 1989. [www.oed.com]",,,
405,Bordón,,405,Rib,,,"n. A straight and raised cord or ridge, longitudinal, horizontal or oblique extended across the length or width surface by the interplay of ends and picks of a fabric. It is produced in knitted fabrics by the use of the rib stitch.","Burnham, Dorothy. Warp and Weft. A Textile Terminology. Royal Ontario Museum, 1980. Tortora, Phyllis, y Ingrid Johnson. The Fairchild Books Dictionary of Textiles, 2015.",rib knit,,
89,Borla ,,,Tassel,,,"n. A pendant ornament or trimming. It consists in a solid knob or mould and a hanging, with a conical shape, tuft or thick fringe of loose yarn or threads or small cords.","Tortora, Phyllis, y Ingrid Johnson. The Fairchild Books Dictionary of Textiles, 2015. Simpson, John; Weiner, Edmund (eds). The Oxford English Dictionary. Oxford : Clarendon Press ; Oxford ; New York : Oxford University Press, 1989. [www.oed.com]",,Tassel/Tuft,
90,Borra de seda ,,90,Bourrette yarn,,,n. Resulting carded yarn from the silk waste produced during the spinning process.,CIETA,"schappe, waste silk",,
92,Brillantina ,,92,Brilliantine,,,"n. From the French brillanté. Basic, light and smooth weave from silk, used for linning or dress material mainly.","Miller, Leslie. Selling Silks. A Merchant´s Sample Book 1764. London: V & A Publishing, 2014. Stevenson, Angus, ed. Oxford Dictionary of English. 3rd ed. Oxford University Press, 2010. Tortora, Phyllis, y Ingrid Johnson. The Fairchild Books Dictionary of Textiles, 2014.",,,
,,,,,,,,,,,
,,,,Brocadillo,,,,,,,
,,,,,,,,,,,
97,Brocado ,,97,Brocade,,,"n. A rich patterned textile with a woven floral or figured raised figures, distinguished and emphasized by contrasting surfaces or colours. Satin or plain weave figures on plain weave (tabby) or satin grounds may be used. In the Renaissance it meant cloths where the figures were woven only in silver or gold, but from later on it is known for any fabric with a raised pattern. It is also the fabric obtained from the Jacquard loom. Far from the decorative purpose it is also used for dresses, wraps, draperies and upholstery. Originally from the Islamic world, the practice passed to Italy and Spain. ","Campbell, Gordon. The Oxford Dictionary of the Renaissance. Oxford University Press, 2003. Stevenson, Angus, ed. Oxford Dictionary of English. 3rd ed. Oxford University. Miller, Leslie. Selling Silks. A Merchant´s Sample Book 1764. London: V & A Publishing, 2014. Tortora, Phyllis, y Ingrid Johnson. The Fairchild Books Dictionary of Textiles, 2015.",,,
,,,,,,,,,,,
101,Brocado de terciopelo ,,101,Velvet brocade,,,,"Campbell, Gordon. The Oxford Dictionary of the Renaissance. Oxford University Press, 2003. Stevenson, Angus, ed. Oxford Dictionary of English. 3rd ed. Oxford University. Miller, Leslie. Selling Silks. A Merchant´s Sample Book 1764. London: V & A Publishing, 2014. Tortora, Phyllis, y Ingrid Johnson. The Fairchild Books Dictionary of Textiles, 2014.",,,
102,Brocado de tres altos ,,,Velvet in three heights of pile,,,,"Monnas, Lisa. Reinassance Velvets. London: Hachette Book Group, 2012; Orsi, Roberta. The Velvets / I Velluti: In the Collection of the Costume Gallery in Florence / Nella Collezione Della Galleria Del Costume Di Firenze. Florence: Abegg-Stiftung  & Mauro Pagliai Editore, 2017.",,,
